Vertices,Edges,Edge probability,2^boolwidth,est min,est avg,est max
60,280,0.315489,42351,1.653968,3.758853,6.333333
60,251,0.288387,64441,2.483333,4.527194,7.233333
60,642,0.701356,461,0.150000,1.254133,3.293478
60,446,0.487709,4059,0.792157,2.435691,4.645833
60,452,0.503236,4100,0.655556,2.469754,4.290909
60,241,0.264640,70115,1.201190,4.315403,6.301190
60,573,0.637245,954,0.419935,1.593486,2.946429
60,275,0.319895,40123,2.225000,4.295295,7.575000
60,406,0.451199,7192,0.757576,2.596311,4.875000
60,346,0.391660,16668,0.760256,3.117161,5.526923
60,340,0.377659,19222,0.602020,3.612877,6.041667
60,379,0.444327,9770,0.775000,3.044359,5.542857
60,609,0.656618,638,0.158730,1.435018,3.455357
60,425,0.493351,5724,0.625000,2.330641,4.174242
60,543,0.614614,1351,0.388889,1.928636,4.169935
60,455,0.501821,3793,0.547619,2.126080,4.588889
60,260,0.288651,59821,2.395833,4.525817,7.527778
60,705,0.789463,204,0.186335,1.012805,2.538462
60,691,0.771328,256,0.158730,1.056714,2.373333
60,426,0.482429,5815,0.354167,2.281207,4.979167
60,408,0.453917,6738,0.610256,2.421099,5.521368
60,724,0.788956,165,0.186335,0.899062,2.373333
60,688,0.741391,253,0.186335,1.067277,2.538462
60,378,0.432721,10032,0.681818,2.666482,5.035256
60,557,0.602281,1122,0.526190,1.918056,4.459524
60,625,0.717639,537,0.370370,1.363573,2.716667
60,373,0.450122,11310,0.729762,2.854143,4.958333
60,603,0.674756,692,0.143541,1.295358,2.472222
60,726,0.795502,173,0.158730,0.866065,2.212121
60,454,0.477649,3788,0.760256,1.950326,3.441667
60,707,0.780552,207,0.158730,0.839838,1.875000
60,335,0.365863,17480,1.330891,3.155612,6.233333
60,580,0.643207,870,0.360256,1.287070,2.680556
60,560,0.629124,1076,0.412500,1.472315,2.747619
60,251,0.247696,85646,2.811111,5.054407,8.587302
60,421,0.455507,6096,1.274242,2.810226,4.904762
60,224,0.261238,101246,2.702020,5.642154,8.825000
60,721,0.795949,170,0.170455,0.854601,1.875000
60,350,0.414747,14734,1.438034,3.492470,6.610256
60,398,0.441403,8596,0.891667,2.888578,5.016667
60,208,0.226750,162175,3.035714,5.311045,7.426190
60,355,0.427707,14459,1.401923,3.367104,5.860256
60,203,0.223509,152950,3.061111,6.832285,9.416667
60,324,0.391693,22467,1.517857,3.421580,5.676923
60,352,0.392549,14626,0.927778,3.435812,6.400433
60,744,0.799033,128,0.186335,0.922851,2.373333
60,518,0.558870,1790,0.373611,2.019086,3.673611
60,621,0.683401,560,0.497619,1.259261,2.212121
60,684,0.779943,270,0.143541,0.882017,2.212121
60,449,0.495278,3987,0.683333,2.310231,4.191667
60,605,0.683327,760,0.170455,1.246469,2.795455
60,223,0.209524,110015,2.500000,5.707267,8.061111
60,705,0.795034,228,0.186335,1.149058,2.538462
60,560,0.619989,1036,0.430556,1.588741,3.192857
60,604,0.662508,656,0.526190,1.445266,4.162500
60,601,0.628027,624,0.240000,1.396878,3.441667
60,293,0.307643,39904,1.836111,3.646753,6.035354
60,527,0.564914,1555,0.354167,1.532920,4.180556
60,685,0.756395,263,0.186335,1.108250,2.243478
60,683,0.765645,304,0.158730,1.060244,2.291667
60,634,0.695215,468,0.288462,1.342497,3.245455
60,548,0.607322,1297,0.407576,1.636077,3.505556
60,490,0.573362,2542,0.334499,2.121819,4.558824
60,320,0.347799,24443,1.941667,3.270025,5.066667
60,692,0.785820,249,0.170455,1.013100,2.291667
60,619,0.642151,556,0.186335,1.371975,3.245455
60,686,0.775385,257,0.186335,0.925907,2.373333
60,355,0.403085,12772,1.183333,2.928135,5.933766
60,293,0.335017,38812,0.852381,3.490878,6.453968
60,565,0.618070,1009,0.510965,1.740539,4.138889
60,642,0.682743,400,0.158730,1.094809,3.375000
60,514,0.586694,1931,0.412500,1.632054,4.558824
60,380,0.440625,10536,0.760256,2.975941,4.952020
60,477,0.526773,2831,0.526190,1.999842,3.520833
60,417,0.455206,6505,1.295455,2.857834,6.415909
60,266,0.281749,52072,1.750000,3.775616,6.144444
60,491,0.537578,2349,0.663743,1.981993,3.505556
60,267,0.293864,58894,2.026190,4.464765,6.850000
60,197,0.224223,188991,2.659524,5.479603,8.991667
60,398,0.470986,7654,1.690909,2.852188,4.799242
60,460,0.521838,3330,0.709524,2.104046,4.138889
60,583,0.637477,841,0.186335,1.437069,2.876812
60,569,0.616771,1017,0.430556,1.835928,3.192857
60,365,0.423303,12992,1.031746,3.216562,6.266667
60,665,0.727972,350,0.158730,1.101653,2.212121
60,631,0.697273,484,0.497619,1.544508,5.250000
60,322,0.346542,20545,2.225000,3.558366,6.535256
60,383,0.410643,9835,0.765873,2.560631,5.367857
60,459,0.529271,3204,0.805556,2.076837,4.062500
60,338,0.391746,15049,1.138095,3.271782,5.326190
60,691,0.751820,241,0.150000,0.911734,2.695489
60,686,0.760298,272,0.170455,1.293213,2.538462
60,564,0.642452,1025,0.150000,1.430862,2.795455
60,598,0.635794,712,0.500000,1.591313,3.293478
60,651,0.731871,402,0.158730,1.342977,3.293478
60,502,0.556132,2211,0.419298,2.300144,4.525000
60,348,0.400741,15773,0.712500,3.188646,5.027778
60,670,0.743277,351,0.150000,1.030681,3.245455
60,427,0.474891,5708,0.683333,2.388157,4.479167
60,552,0.629368,1207,0.466667,1.820057,4.752632
